frame,player_id,x,y,pitch_x,pitch_y,role,team_id,confidence
1,9,979.0,536.0,7784.94189453125,2211.8828125,player,0,0.9182834029197693
1,10,1217.0,466.0,8965.1201171875,1034.3414306640625,player,1,0.9148264527320862
1,11,350.0,555.0,5701.15283203125,2194.618408203125,player,1,0.9143440127372742
1,12,1252.0,427.0,9345.9794921875,178.04823303222656,player,0,0.9133809208869934
1,13,1472.5,462.0,10049.5927734375,1081.9052734375,player,1,0.9069604873657227
1,14,530.0,495.0,6309.791015625,1266.575439453125,player,0,0.9050567150115967
1,15,865.5,615.0,7223.91015625,3320.538818359375,player,1,0.8964505791664124
1,16,492.5,495.0,6180.34423828125,1248.75,player,1,0.895939290523529
1,17,996.5,456.0,8129.16943359375,713.7241821289062,player,0,0.8957661390304565
1,19,1747.0,452.0,11343.0556640625,1009.513916015625,player,0,0.8843225836753845
1,20,908.5,451.0,7799.4296875,564.054931640625,player,1,0.8742465376853943
1,21,1197.0,435.0,9058.3193359375,341.1035461425781,player,1,0.859200119972229
1,22,1301.0,461.0,9337.6650390625,971.61767578125,player,0,0.8294032216072083
1,8,1043.5,498.0,8145.5048828125,1577.234619140625,referee,-1,0.9241230487823486
1,18,406.5,438.0,5897.28466796875,55.40412521362305,referee,-1,0.8877038359642029
2,1,330.0,695.0,5661.01123046875,3997.7626953125,player,1,0.9424465298652649
2,2,1706.5,720.0,9391.8037109375,5017.47998046875,player,0,0.9345511794090271
2,3,846.5,529.0,7347.74560546875,2028.1832275390625,player,1,0.9332671165466309
2,4,941.5,660.0,7361.54345703125,3925.685302734375,player,0,0.932232141494751
2,5,1652.0,541.0,10202.5732421875,2670.782470703125,player,0,0.9307641983032227
2,10,1218.0,465.0,8977.224609375,1015.8388671875,player,1,0.9239649772644043
2,7,512.5,798.0,6097.19384765625,5084.24658203125,player,0,0.9187819957733154
2,11,350.0,555.0,5701.0263671875,2198.305419921875,player,1,0.913850724697113
2,6,1425.5,530.0,9419.4462890625,2356.32373046875,player,1,0.912746012210846
2,9,983.0,537.0,7797.287109375,2232.94775390625,player,0,0.9096822142601013
2,17,998.5,456.0,8138.9560546875,717.1159057617188,player,0,0.9084123969078064
2,13,1474.5,461.0,10069.1845703125,1062.7711181640625,player,1,0.9058281183242798
2,14,531.0,495.0,6313.46337890625,1270.5576171875,player,0,0.904902458190918
2,12,1255.0,426.0,9368.80078125,157.04747009277344,player,0,0.9003871083259583
2,15,867.0,615.0,7229.619140625,3323.6142578125,player,1,0.8989165425300598
2,16,493.5,496.0,6183.24462890625,1271.2935791015625,player,1,0.8916916847229004
2,19,1747.5,452.0,11350.01171875,1010.2612915039062,player,0,0.8912474513053894
2,20,909.5,451.0,7804.91064453125,567.1519165039062,player,1,0.8856276273727417
2,21,1200.0,434.0,9079.861328125,321.0639953613281,player,1,0.8811410069465637
2,22,1302.0,460.0,9350.94140625,952.4591674804688,player,0,0.8281413316726685
2,8,1043.5,498.0,8147.3232421875,1579.58154296875,referee,-1,0.9257861971855164
2,18,407.0,438.0,5898.7392578125,59.33963394165039,referee,-1,0.8927876949310303
3,1,331.0,694.0,5665.63525390625,3980.66455078125,player,1,0.9420615434646606
3,2,1707.5,720.0,9399.470703125,5017.8857421875,player,0,0.9320189952850342
3,4,942.0,660.0,7364.07763671875,3922.2724609375,player,0,0.9254916310310364
3,3,850.5,528.0,7363.87744140625,2017.6539306640625,player,1,0.9253684878349304
3,7,514.5,798.0,6102.607421875,5078.5595703125,player,0,0.9228107333183289
3,5,1652.5,541.0,10201.392578125,2675.788818359375,player,0,0.9177814722061157
3,9,989.5,536.0,7821.93359375,2223.474609375,player,0,0.9173295497894287
3,6,1430.5,530.0,9434.6572265625,2364.222900390625,player,1,0.9170215725898743
3,11,350.0,555.0,5705.74951171875,2199.18896484375,player,1,0.914882481098175
3,19,1748.0,452.0,11339.7978515625,1026.9400634765625,player,0,0.9130101203918457
